item_name,item_type,item_price,money_type,inventory_id
"Kit, forgery",TOOL,1500,COPPER,152
"Kit, herbalism",TOOL,500,COPPER,153
"Kit, healer's",TOOL,500,COPPER,154
"Kit, mess",TOOL,20,COPPER,155
"Kit, poisoner's",TOOL,5000,COPPER,156
Ladder (10-foot),MISC,10,COPPER,157
Lamp,MISC,50,COPPER,158
"Lantern, bullseye",MISC,1000,COPPER,159
"Lantern, hooded",MISC,500,COPPER,160
Lock,MISC,1000,COPPER,161
Magnifying glass,MISC,10000,COPPER,162
Manacles,MISC,200,COPPER,163
"Mirror, steel",MISC,500,COPPER,164
Oil (flask),MISC,10,COPPER,165
Paper (one sheet),MISC,20,COPPER,166
Parchment (one sheet),MISC,10,COPPER,167
Perfume (vial),MISC,500,COPPER,168
"Pick, miner's",MISC,200,COPPER,169
Piton,MISC,5,COPPER,170
"Poison, basic (vial)",MISC,10000,COPPER,171
Pole (10-foot),MISC,5,COPPER,172
"Pot, iron",MISC,200,COPPER,173
Potion of Healing,Potion,5000,COPPER,174
Pouch,MISC,50,COPPER,175
Quiver,AMMUNITION,100,COPPER,176
"Ram, portable",MISC,400,COPPER,177
Rations (1 day),FOOD,50,COPPER,178
Robes,CLOTHES,100,COPPER,179
"Rope, hempen (50 feet)",MISC,100,COPPER,180
"Rope, silk (50 feet)",MISC,1000,COPPER,181
Sack,MISC,1,COPPER,182
"Scale, merchant's",MISC,500,COPPER,183
Sealing wax,MISC,50,COPPER,184
Shovel,MISC,200,COPPER,185
Signal whistle,MISC,5,COPPER,186
Signet ring,MISC,500,COPPER,187
Soap,MISC,2,COPPER,188
Spellbook,MISC,5000,COPPER,189
"Spikes, iron (10)",MISC,100,COPPER,190
Spyglass,MISC,100000,COPPER,191
"Tent, two-person",MISC,200,COPPER,192
Tinderbox,MISC,50,COPPER,193
Torch,MISC,1,COPPER,194
Vial,MISC,100,COPPER,195
Waterskin,MISC,20,COPPER,196
Whetstone,MISC,1,COPPER,197
Breastplate,ARMOR,40000,COPPER,198
Chain Mail,ARMOR,7500,COPPER,199
Chain Shirt,ARMOR,5000,COPPER,200
Half Plate,ARMOR,75000,COPPER,201
Hide,ARMOR,1000,COPPER,202
Leather,ARMOR,1000,COPPER,203
Padded,ARMOR,500,COPPER,204
Plate,ARMOR,150000,COPPER,205
Ring Mail,ARMOR,3000,COPPER,206
Scale Mail,ARMOR,5000,COPPER,207
Spiked Armor,ARMOR,7500,COPPER,208
Splint,ARMOR,20000,COPPER,209
Studded Leather,ARMOR,4500,COPPER,210
Shield,ARMOR,1000,COPPER,211
Cookie (1 dozen),FOOD,30,COPPER,212
Hardtack (1 day ration),FOOD,50,COPPER,213
"Bread, loaf",FOOD,2,COPPER,214
Fruit tart,FOOD,10,COPPER,215
Pie,FOOD,60,COPPER,216
Cake (bespoke),FOOD,600,COPPER,217
Muffins (half dozen),FOOD,80,COPPER,218
Meat pie,FOOD,50,COPPER,219
Venison/lamb/beef roast,FOOD,60,COPPER,220
Venison/lamb/pork chops (6),FOOD,80,COPPER,221
Venison/lamb/beef steak,FOOD,60,COPPER,222
Venison/lamb/beef/pork loin,FOOD,80,COPPER,223
Venison/lamb/beef/pork ribs,FOOD,60,COPPER,224
Venison/lamb/pork sausages (6),FOOD,60,COPPER,225
Bacon,FOOD,60,COPPER,226
Gallon of Ale,FOOD,20,COPPER,227
Mug of Ale,FOOD,4,COPPER,228
Banquet (per person),FOOD,1000,COPPER,229
"Cheese, hunk",FOOD,10,COPPER,230
Inn Stay per day (Squalid),SERVICE,7,COPPER,231
Inn Stay per day (Poor),SERVICE,10,COPPER,232
Inn Stay per day (Modest),SERVICE,50,COPPER,233
Inn Stay per day (Comfortable),SERVICE,80,COPPER,234
Inn Stay per day (Wealthy),SERVICE,200,COPPER,235
Inn Stay per day (Aristocratic),SERVICE,400,COPPER,236
Meals per day (Squalid),FOOD,3,COPPER,237
Meals per day (Poor),FOOD,6,COPPER,238
Meals per day (Modest),FOOD,30,COPPER,239
Meals per day (Comfortable),FOOD,50,COPPER,240
Meals per day (Wealthy),FOOD,80,COPPER,241
Meals per day (Aristocratic),FOOD,200,COPPER,242
"Meat, chunk",FOOD,30,COPPER,243
Pitcher of Common Wine,FOOD,20,COPPER,244
Fine Bottle of Wine,FOOD,1000,COPPER,245
Coach Cab Beteen Towns (per mile),SERVICE,3,COPPER,246
Coach Cab within City,SERVICE,1,COPPER,247
Skilled Labor (per day),SERVICE,200,COPPER,248
Untrained Labor (per day),SERVICE,20,COPPER,249
Messenger (per mile),SERVICE,2,COPPER,250
Road or Gate Toll,SERVICE,1,COPPER,251
Ship Passsage (per mile),SERVICE,10,COPPER,252
Level 1 Spell (before components),SERVICE,1000,COPPER,253
Level 2 Spell (before components),SERVICE,4000,COPPER,254
Level 3 Spell (before components),SERVICE,9000,COPPER,255
Level 4 Spell (before components),SERVICE,16000,COPPER,256
Level 5 Spell (before components),SERVICE,25000,COPPER,257
Level 6 Spell (before components),SERVICE,36000,COPPER,258
Level 7 Spell (before components),SERVICE,49000,COPPER,259
Level 8 Spell (before components),SERVICE,64000,COPPER,260
Level 9 Spell (before components),SERVICE,81000,COPPER,261
Breastplate Barding,ARMOR,160000,COPPER,262
Chain Mail Barding,ARMOR,30000,COPPER,263
Chain Shirt Barding,ARMOR,20000,COPPER,264
Half Plate Barding,ARMOR,300000,COPPER,265
Hide Barding,ARMOR,4000,COPPER,266
Leather Barding,ARMOR,4000,COPPER,267
Padded Barding,ARMOR,2000,COPPER,268
Plate Barding,ARMOR,600000,COPPER,269
Ring Mail Barding,ARMOR,12000,COPPER,270
Scale Mail Barding,ARMOR,20000,COPPER,271
Spiked Armor Barding,ARMOR,30000,COPPER,272
Splint Barding,ARMOR,80000,COPPER,273
Studded Leather Barding,ARMOR,18000,COPPER,274
